Edital,Unidade,Título,Vertente,Orientador,Total de Bolsa
2015,ECA,Boas práticas editoriais: processos de fluxo e avaliação de artigos no periódico científico Significação,Cultura e Extensão,Eduardo Victorio Morettin,1
2015,ECA,Comunicação/trabalho/linguagem: intersecções de um percurso de pesquisas em 10 anos do CPCT,Pesquisa,Roseli Aparecida Figaro Paulino,2
2015,ECA,"Conhecer, Avaliar, Melhorar - Publicidade e Propaganda - ECA/ USP",Ensino,Arlindo Ornelas Figueira Neto,6
2015,ECA,"CORO DE CÂMARA COMUNICANTUS : ARTE, ENSINO E TECNOLOGIA",Ensino,Marco Antonio da Silva Ramos,34
2015,ECA,"CRIAÇÃO DE CONTEÚDOS AUDIOVISUAIS DIGITAIS EM INTERATIVIDADE, MULTITELAS, MULTIPLATAFORMAS E AMBIENTES IMERSIVOS",Pesquisa,Almir Antonio Rosa,10
2015,ECA,Depois do fim da arte,Pesquisa,Dora Longo Bahia,4
2015,ECA,DIVULGAÇÃO CIENTÍFICA NA RÁDIO USP,Cultura e Extensão,Ciro Juvenal Rodrigues Marcondes Filho,6
2015,ECA,Ensino em Organização e Representação do Conhecimento: questões teóricas e recursos de Ambiente Virtual de Aprendizagem e Web.,Ensino,Cibele Araujo Camargo Marques dos Santos,3
2015,ECA,Formação do Profissional da Área da Informação: Desafios e Oportunidades da Educação,Ensino,Francisco Carlos Paletta,1
2015,ECA,História do Audiovisual: pesquisa e ensino,Ensino,Eduardo Victorio Morettin,2
2015,ECA,Implantação e editoração de uma revista impressa e eletrônica a respeito da Graduação,Ensino,Thiago Mio Salla,1
2015,ECA,"Informação, Conhecimento e Sociedade",Pesquisa,Francisco Carlos Paletta,1
2015,ECA,"Levantamento, classificação e análise de dados referentes a teses e dissertações sobre ficção televisiva nos programas de Pós-Graduação em Comunicação",Cultura e Extensão,Maria Immacolata Vassallo de Lopes,1
2015,ECA,Mascaramentos Contemporâneos: experiências corpocidade.,Pesquisa,Felisberto Sabino da Costa,3
2015,ECA,Modelando aplicativo para ensino de metadados e construção de biblioteca digitais com  o DSpace.,Ensino,José Fernando Modesto da Silva,2
2015,ECA,Movimentos Migratórios no Brasil Hoje: O Caso dos Haitianos em São Paulo.,Pesquisa,Lucilene Cury,2
2015,ECA,Novos paradigmas conceituais no estudo da relação cinema e história,Pesquisa,Eduardo Victorio Morettin,4
2015,ECA,"Núcleo de Comunicação e Educação - readequação do acervo, divulgação e formação sobre Educomunicação",Pesquisa,Claudemir Edson Viana,3
2015,ECA,O CURSO DE EXTENSÃO VIVÊNCIAS COM A ARTE PARA JOVENS E ADOLESCENTES DA ECA/USP E SEUS DESDOBRAMENTOS,Pesquisa,Sumaya Mattar,2
2015,ECA,O entre-lugar da crônica: narrativa e persuasão,Cultura e Extensão,Jean Pierre Chauvin,2
2015,ECA,Orçamento do Tempo de Jovens Universitários na Atualidade: entendendo a relação entre lazer e trabalho,Ensino,Debora Cordeiro Braga,2
2015,ECA,Organização do acervo do Laboratório de Informação e Memória do CAC,Pesquisa,Elizabeth Ferreira Cardoso Ribeiro Azevedo,4
2015,ECA,Portal da Juventude da Cidade de São Paulo,Cultura e Extensão,Gilson Schwartz,3
2015,ECA,PRE PARA! Cursinho destinado à prova específica do Audiovisual,Cultura e Extensão,Almir Antonio Rosa,6
2015,ECA,Projeto de Turismo Social Rosa dos Ventos,Cultura e Extensão,Debora Cordeiro Braga,2
2015,ECA,PROJETO INCUBADORA DE TALENTOS,Pesquisa,Luiz Guilherme de Carvalho Antunes,6
2015,ECA,Recursos Computacionais Aplicados a Biblioteconomia - Bibliotecas Digitais,Cultura e Extensão,Francisco Carlos Paletta,1
2015,ECA,Repositório de Acesso Aberto para armazenamento de Ativos Digitais tangíveis e intangíveis para Bibliotecas Públicas: aplicando o GreenStone,Cultura e Extensão,José Fernando Modesto da Silva,2
2015,ECA,Teatro Moradia: intervenções épicas no CRUSP,Cultura e Extensão,Andréia Vieira Abdelnur Camargo,2
